型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
惠普PROBOOK 440 G3（T0J20PA）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1116569.shtml,https://2d.zol-img.com.cn/product/174_80x60/571/ceFLyOOAl36R.jpg,3699,正常,3564,Intel 酷睿i3 6100U,英特尔 酷睿i3 6代系列,2.3GHz,NULL,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,500GB,7200转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11b/g/n无线协议,双立体声扬声器,1366x768,2015年11月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0（其中一个具有Powershare供电功能）,339.2mm,1.68Kg,安全锁孔,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（X3E15PA）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1150555.shtml,https://2a.zol-img.com.cn/product/174_80x60/640/ceem6kIjwdt8s.jpg,4299,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR4 2133MHz,2xSO-DIMM,1TB,5400转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11a/b/g/n无线协议,双立体声扬声器,1366x768,2016年06月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,339.2mm,1.68Kg,安全锁孔,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（Y0T58PA）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1150559.shtml,https://2d.zol-img.com.cn/product/174_80x60/643/ceWstLG63Hns.jpg,4099,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR4 2133MHz,2xSO-DIMM,500GB,7200转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11a/b/g/n无线协议,双立体声扬声器,1366x768,2016年06月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,339.2mm,1.68Kg,安全锁孔,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（Y0T59PA）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1150563.shtml,https://2b.zol-img.com.cn/product/174_80x60/647/cequeixvoYiAU.jpg,4699,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR4 2133MHz,2xSO-DIMM,1TB,5400转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11a/b/g/n无线协议,双立体声扬声器,1366x768,2016年06月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,339.2mm,1.68Kg,安全锁孔，HP 指纹识别器,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（Y5X06PA）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1154730.shtml,https://2e.zol-img.com.cn/product/176_80x60/464/ceM5H9gjt6o6.jpg,4999,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,256GB,SSD固态硬盘,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,20.9mm,LED背光，防炫目屏,支持802.11b/g/n无线协议,双立体声扬声器,1920x1080,2016年08月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0（其中一个具有Powershare供电功能）,339.2mm,1.68Kg,安全锁孔,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 10,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（T0P70PT）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1140968.shtml,https://2a.zol-img.com.cn/product/174_80x60/586/ceknmJlN5vTI.jpg,4499,正常,4372,Intel 酷睿i5 6300U,英特尔 酷睿i5 6代系列,2.4GHz,3GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,1TB,5400转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11b/g/n无线协议,双立体声扬声器,1366x768,2016年03月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0（其中一个具有Powershare供电功能）,339.2mm,1.68Kg,安全锁孔,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（L6E40AV）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1150637.shtml,https://2d.zol-img.com.cn/product/174_80x60/285/ceomLFPlA2ss.jpg,暂无报价,[北京],4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR4 2133MHz,2xSO-DIMM,1TB,5400转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,LED背光，防炫目屏,支持802.11a/b/g/n无线协议,双立体声扬声器,1366x768,2016年06月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0,339.2mm,1.68Kg,安全锁孔，HP 指纹识别器,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PROBOOK 440 G3（V5E93AV）,PROBOOK 440 G3系列,http://detail.zol.com.cn/notebook/index1150641.shtml,https://2e.zol-img.com.cn/product/174_80x60/358/ce7mMN9e6mOvg.jpg,暂无报价,[北京],4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,1TB,5400转,765,入门级独立显卡,AMD Radeon R7 M340,2GB,GDDR3,64bit,复合材质,NULL,NULL,4芯锂电池,NULL,19.9-20.9mm,FHD，LED背光，防炫目屏,支持802.11b/g/n无线协议,双立体声扬声器,1920x1080,2016年07月,244mm,NULL,NULL,商用,1×USB2.0+2×USB3.0（其中一个具有Powershare供电功能）,339.2mm,1.68Kg,安全锁孔，HP 指纹识别器,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,NULL,NULL,商务办公本,预装Windows 7 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑色,NULL,NULL,触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,阵列式麦克风,NULL,NULL,NULL,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,14英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸防水键盘,RJ45（网络接口），电源接口
惠普PAVILION 13-b207TU（L0K92PA）,Pavilion 13系列,http://detail.zol.com.cn/notebook/index392704.shtml,https://2b.zol-img.com.cn/product/144_80x60/905/ceJJ2CEea5HOA.jpg,3333,正常,3062,Intel 酷睿i3 5010U,英特尔 酷睿i3 5代系列,2.1GHz,NULL,双核心/四线程,3MB,DMI 5 GT/s,Broadwell,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,500GB,5400转,580,核芯显卡,Intel GMA HD 5500,共享内存容量,NULL,NULL,复合材质,NULL,NULL,3芯锂电池，4300毫安,NULL,21.4mm,LED背光,支持802.11b/g/n无线协议,双Beats Audio扬声器,1366x768,2015年03月,224.4mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,333.2mm,1.7Kg,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置音效芯片,无内置光驱,NULL,NULL,100Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 8.1（64bit）,NULL,1年,天然银,NULL,NULL,一体化多点触控触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
惠普PAVILION 13-b116TU（J8C75PA）,Pavilion 13系列,http://detail.zol.com.cn/notebook/index388491.shtml,https://2f.zol-img.com.cn/product/140_80x60/55/ceM9gSWYP45j6.jpg,3899,正常,3399,Intel 酷睿i5 4210U,英特尔 酷睿i5 4代系列,1.7GHz,NULL,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,500GB,5400转,562,核芯显卡,Intel GMA HD 4400,共享内存容量,NULL,NULL,复合材质,NULL,NULL,3芯锂电池，4300毫安,NULL,21.4mm,LED背光,支持802.11b/g/n无线协议,2个BeatsAudio扬声器,1366x768,2014年10月,224.4mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,333.2mm,1.7Kg,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置音效芯片,无内置光驱,NULL,NULL,100Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 8.1（64bit）,NULL,1年,天然银,NULL,NULL,一体化多点触控触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
惠普PAVILION 13-b117TU（J8C76PA）,Pavilion 13系列,http://detail.zol.com.cn/notebook/index388492.shtml,https://2e.zol-img.com.cn/product/140_80x60/54/ce3nb3PMuC9LA.jpg,3299,[无货],2707,Intel 酷睿i3 4030U,英特尔 酷睿i3 4代系列,1.9GHz,NULL,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,500GB,5400转,562,核芯显卡,Intel GMA HD 4400,共享内存容量,NULL,NULL,复合材质,NULL,NULL,3芯锂电池，4300毫安,NULL,21.4mm,LED背光,支持802.11b/g/n无线协议,2个BeatsAudio扬声器,1366x768,2014年10月,224.4mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,333.2mm,1.7Kg,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置音效芯片,无内置光驱,NULL,NULL,100Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 8.1（64bit）,NULL,1年,天然银,NULL,NULL,一体化多点触控触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
惠普PAVILION 13-b206TU（L0K79PA）,Pavilion 13系列,http://detail.zol.com.cn/notebook/index392703.shtml,https://2a.zol-img.com.cn/product/144_80x60/904/cejlFTeO3Dujg.jpg,3955,[无货],3494,Intel 酷睿i5 5200U,英特尔 酷睿i5 5代系列,2.2GHz,NULL,双核心/四线程,3MB,DMI 5 GT/s,Broadwell,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,500GB,5400转,580,核芯显卡,Intel GMA HD 5500,共享内存容量,NULL,NULL,复合材质,NULL,NULL,3芯锂电池，4300毫安,NULL,21.4mm,LED背光,支持802.11b/g/n无线协议,2个BeatsAudio扬声器,1366x768,2015年03月,224.4mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,333.2mm,1.7Kg,安全锁孔，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置音效芯片,无内置光驱,NULL,NULL,100Mbps以太网卡,NULL,NULL,时尚轻薄本,预装Windows 8.1（64bit）,NULL,1年,天然银,NULL,NULL,一体化多点触控触摸板,全球联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,NULL,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,全尺寸键盘,RJ45（网络接口），电源接口
惠普PROBOOK 650 G1（F8Z24PA）,PROBOOK 650 G1系列,http://detail.zol.com.cn/notebook/index367808.shtml,https://2d.zol-img.com.cn/product/125_80x60/961/ce3oPw8ipG2.jpg,5999,[停产],4039,Intel 酷睿i5 4200M,英特尔 酷睿i5 4代系列,2.5GHz,3.1GHz,双核心/四线程,3MB,DMI 5 GT/s,Haswell,22nm,37W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,2xSO-DIMM,32GB+500GB,混合硬盘（SSD+7200转HDD）,1045,双显卡（发烧级独立显卡＋集成显卡）,AMD Radeon HD 8750M＋Intel GMA HD 4400,1GB,GDDR3,128bit,复合材质,NULL,NULL,6芯锂电池，5500毫安,NULL,25.3mm,LED背光,支持802.11b/g/n无线协议,2×2W立体声音响,1366x768,2014年,257mm,NULL,NULL,商用,4×USB3.0（其中一个具有Powershare供电功能）,378mm,2.32Kg,安全锁孔,800-810-3888：400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 90W 自适应交流电源适配器,1年标准部件和人工有限保修，1年原装电池有限保修,DTS Sound+ 技术的HD音频,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM87,NULL,商务办公本,DOS,NULL,1年,黑色,NULL,NULL,一体化多点触控触摸板,全球联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,HP 3D DriveGuardHP Connection Manager (Windows 7)HP 无线热点HP Mobile Connect（仅限欧洲、中东和非洲地区）HP PageLiftHP Recovery Manager (Windows 7)HP Support AssistantHP 云打印购买 Office,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.0模块,支持智能指纹识别功能,NULL,内置麦克风,NULL,NULL,ExpressCard,720p HD摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,15.6英寸,NULL,8GB,视具体使用环境而定,VGA，DisplayPort,NULL,NULL,NULL,支持多点触控,NULL,全尺寸键盘（包含独立数字键盘）,RJ45（网络接口），电源接口
